"","s-2","s-Wetteren","s-Wichelen","s-2a","s-3","s-Dendermonde","s-4b","s-4c","s-6","s-8","s-9","s-12","s-STD3","s-7","s-5","ak-41","s-Vlassenbroek","s-4a","s-9a","s-8a","s-11","s-4","s-10a","ak-45","ws-53A","ws-53","ws-42A","ws-18","ws-25B","ws-16","ws-14","ws-12A","ws-6","ws-4","ws-PVTSS","ws-DL9","ws-DL7","ws-55","ws-2C","ws-TRAWL","ws-F42","ws-HW6","ws-11","s-1","ws-OGDL","ws-OG10","ws-SP3","ws-25A","ws-25","ws-23","ws-A5","ws-PPC","ws-A3","ws-A1","ws-15A","ws-15","ws-W6","ak-47","ws-WN2","bpns-WENDUINEBANKW","bpns-Whitley","me-7-2","M-6","ws-13","ws-W7","bpns-W1","bpns-Trapegeer","du-Hamveer","bpns-WK12","ws-FZ2","bpns-S4","bpns-A1BIS","bpns-S7","bpns-O6","M-4","M-4A","M-3","M-2","M-1","M-5","s-Dendermonde2","bpns-KB2","bpns-middelkerkebank","bpns-nieuwpoortbank","ws-borssele","PC4C-C05-2","PC4C-C05-9","ws-GVWSP","bpns-Cpowerreefballs-CPOD","bpns-zbe1","bpns-ZA2","ws-F53","bpns-WK14","rel_schelde1","rel_dijle","rel_schelde2","rel_schelde3","rel_schelde4","rel_schelde5"
"me-7-2",69913.1243714278,63278.4611089147,57833.5477745737,52998.9362226646,43109.6535498052,37599.2502056866,25089.2015945225,22599.8306018745,14575.9676123066,10286.2276126232,15733.1688272216,38215.7909735551,42128.9871016075,12586.2706358335,19786.2443688043,23981.2536761731,29775.2519411058,28426.9166078349,15933.1067744613,10186.2586390033,38032.9948785648,39088.9070547174,23498.526252906,34919.3796875465,63181.1790158338,63529.580538728,63378.015156433,80547.0835419298,81629.8200662589,81657.1813776253,82508.7004271842,83301.6274526815,85914.7766254189,86263.1781483125,86911.5598143199,105208.635482449,106456.977434683,62667.1720650363,87015.422596686,105183.706012707,63726.4166793266,64457.601059286,87566.9615031312,70568.3552083148,103425.945290856,104239.883569932,106077.345199094,82781.3192589303,83281.2861641189,84057.0225225305,84891.3509050037,85739.7193330859,85360.0870974975,85870.2246469668,85897.5859583338,86307.7301267653,105414.204707626,45566.8419404647,105269.659348136,150586.726744716,172137.318946866,0,7224.30645995129,87259.9613372134,104941.599113804,116186.128548333,178733.731473879,22200.2231889911,131417.071958613,63343.6338222616,133588.127470372,141092.219229382,124912.914009981,149915.571948522,13083.0625121271,13083.0625121271,13424.3951973812,13607.2156997887,15662.524723128,10886.358750774,37599.2502056865,159846.422886021,161440.734519523,175367.619072915,88753.4875875727,162179.382200069,162262.184914021,105639.120939443,144722.936157366,124627.692692329,125524.409277939,63729.5673008036,120120.970522827,9672.42254013008,13083.0625121271,36633.6977294808,52957.5104582708,26520.2664194916,69913.1243714278
"M-6",77137.4308313791,70502.7675688661,65057.8542345249,60223.2426826159,50333.9600097564,44823.5566656378,32313.5080544738,29824.1370618258,21800.2740722579,17510.5340725745,22957.4752871729,45440.0974335063,49353.2935615587,19810.5770957848,27010.5508287556,31205.5601361244,36999.5584010571,35651.2230677862,23157.4132344126,17410.5650989546,45257.301338516,46313.2135146687,30722.8327128573,42143.6861474977,70405.485475785,70753.8869986793,70602.3216163843,87771.390001881,88854.1265262101,88881.4878375765,89733.0068871354,90525.9339126327,93139.0830853701,93487.4846082637,94135.8662742711,112432.941942401,113681.283894634,69891.4785249875,94239.7290566372,112408.012472659,70950.723139278,71681.9075192374,94791.2679630824,77792.6616682662,110650.251750807,111464.190029883,113301.651659045,90005.6257188815,90505.5926240701,91281.3289824817,92115.6573649549,92964.0257930371,92584.3935574487,93094.531106918,93121.892418285,93532.0365867165,112638.511167577,52791.1484004159,112493.965808087,157811.033204667,179361.625406817,7224.30645995129,0,94484.2677971648,112165.905573755,123410.435008284,185958.03793383,29424.5296489424,138641.378418564,70567.9402822129,140812.433930324,148316.525689333,132137.220469933,157139.878408474,5858.75605217606,5858.75605217606,6200.08873743015,6382.9092398377,8438.21826317696,3662.05229082303,44823.5566656377,167070.729345972,168665.040979475,182591.925532867,95977.7940475241,169403.688660021,169486.491373973,112863.427399395,151947.242617317,131851.999152281,132748.71573789,70953.8737607549,127345.276982779,16896.7290000814,5858.75605217606,43858.004189432,60181.816918222,33744.5728794429,77137.4308313792
"ws-13",141993.581297794,135358.918035281,129914.00470094,125079.393149031,115190.110476171,109679.707132053,97169.6585208884,94680.2875282404,86656.4245386724,76973.7337245902,71526.7925099918,49044.1703636583,45130.9742356059,84666.7275621994,91866.7012951702,63737.1999869993,101855.708867472,100507.373534201,71326.8545627521,77073.7026982101,49426.9044058884,111169.363981084,63820.0027009512,53130.5289056122,24492.7958911394,24641.2106519582,25289.592317965,10190.5917812702,9390.59591813298,8500.87494790972,7269.6748479268,6355.57233588905,2047.99611152118,1406.75650540815,641.239606113024,17948.6741452356,19197.0160974693,24592.7892721771,1389.63906057598,17923.7446754939,25438.0070787832,25369.2444104408,541.270632493161,142648.812134681,16165.9839536424,16979.9222327181,18817.3838618803,8210.82137489941,8003.6925529302,7330.95375252601,6516.82021410821,6868.07946946441,5385.66230999864,4354.47337950819,3289.04955935404,2299.28639325779,18154.2433704125,44517.1203482772,18009.698010922,63326.7654075019,84877.3576096513,87259.9613372134,94484.2677971648,0,17681.6377765904,28926.1672111192,91473.7701366644,94280.680115357,44157.110621399,25655.1845079444,46328.1661331583,53832.2578921677,37652.9526727678,62655.6106113081,100343.02384934,100343.02384934,100684.356534595,100867.177037002,102922.486060341,98146.3200879875,109679.707132053,72586.4615488065,74180.7731823091,88107.6577357014,2782.01381652466,74919.4208628549,75002.2235768069,18379.1596022297,57462.9748201515,37367.7313551157,38264.4479407254,24441.2238898827,32861.0091856139,81752.8794664959,100343.02384934,108714.154655847,125037.967384637,98600.7233458575,141993.581297794
"ws-W7",159675.219074385,153040.555811872,147595.642477531,142761.030925622,132871.748252762,127361.344908643,114851.296297479,112361.925304831,104338.062315263,94655.3715011807,89208.4302865823,66725.8081402486,62812.6120121961,102348.36533879,109548.339071761,81418.8377635897,119537.346644062,118189.011310791,89008.4923393426,94755.3404748006,67108.5421824786,128851.001757674,81501.6404775417,70812.1666822025,42174.4336677296,42322.8484285484,42971.2300945551,27872.2295578605,26955.0984614353,26182.5127244999,24834.1773912292,23627.236795972,19026.8224883848,18678.4209654912,18030.0392994839,7150.86894549174,7336.42514327323,42274.4270487673,18671.4009426868,3413.32685253557,43119.6448553733,43050.8821870308,17623.0457525286,160330.449911272,7655.16899294727,8771.9451475986,5854.00798380679,25306.7829850507,24806.8160798621,23782.6715795946,22617.1323413135,22265.5801969432,21485.974437204,20396.2178900697,19623.632153135,18633.8689870385,941.146526973273,62198.7581248673,2206.50829436706,45810.7330588156,67361.3252609645,104941.599113804,112165.905573755,17681.6377765904,0,11410.1348624327,73957.7377879779,111962.317891947,26475.4728448088,43336.8222845346,28646.528356568,36316.2255434812,20136.9203240813,45139.5782626216,118024.661625931,118024.661625931,118365.994311185,118548.814813592,120604.123836932,115827.957864578,127361.344908643,55070.42920012,56664.7408336226,70591.6253870148,18433.882224963,57237.7830862648,57320.5858002168,4512.98556235407,39781.3370435615,19851.6990064291,20748.4155920389,42122.861666473,15344.9768369274,99434.5172430861,118024.661625931,126395.792432437,142719.605161227,116282.361122448,159675.219074385
"bpns-W1",170919.748508914,164285.085246401,158840.17191206,154005.56036015,144116.277687291,138605.874343172,126095.825732008,123606.45473936,115582.591749792,105899.90093571,100452.959721111,77970.3375747775,74057.141446725,113592.894773319,120792.86850629,92663.3671981186,130781.876078591,129433.54074532,100253.021773872,105999.86990933,78353.0716170076,140095.531192203,92746.1699120706,82056.6961167314,53418.9631022583,53567.3778630771,54215.7595290838,39116.7589923891,38199.6278959639,37427.0421590286,36078.7068257579,34871.7662305007,30271.3519229136,29922.95040002,29274.5687340127,16276.8667588129,15525.3410902924,53518.956483296,30081.5358051195,13652.1093820906,54364.174289902,54295.4116215596,29033.1806149612,171574.979345801,17893.9515225022,18190.7810441392,14745.7353305525,36551.3124195794,36051.3455143908,35027.2010141233,33861.6617758423,33510.109631472,32730.5038717328,31640.7473245985,30868.1615876638,29878.3984215673,11682.7536941795,73443.2875593962,12738.1289071415,34400.5981963831,55951.190398532,116186.128548333,123410.435008284,28926.1672111192,11410.1348624327,0,62547.6029255452,123206.847326476,16886.9976893206,54581.3517190633,19058.0532010797,24906.0906810485,9472.0098872162,33729.4434001891,129269.19106046,129269.19106046,129610.523745714,129793.344248121,131848.65327146,127072.487299107,138605.874343172,43660.2943376874,45254.60597119,59181.4905245822,29844.0170873957,47649.3079307769,47732.1106447288,14107.5243088264,30192.8618880738,8441.56414399644,9338.28072960622,53367.3911010017,3934.84197449466,110679.046677615,129269.19106046,137640.321866966,153964.134595756,127526.890556977,170919.748508914
"bpns-Trapegeer",233467.35143446,226832.688171946,221387.774837605,216553.163285696,206663.880612836,201153.477268718,188643.428657553,186154.057664905,178130.194675337,168447.503861255,163000.562646657,140517.940500323,136604.744372271,176140.497698864,183340.471431835,155210.970123664,193329.479004137,191981.143670866,162800.624699417,168547.472834875,140900.674542553,202643.134117749,155293.772837616,144604.299042277,115966.566027804,116114.980788623,116763.362454629,101664.361917935,100747.230821509,99974.645084574,98626.3097513032,97419.3691560461,92818.9548484588,92470.5533255652,91822.1716595578,78824.469684358,78072.9440158374,116066.559408841,92629.1387306646,76199.7123076357,116911.777215448,116843.014547105,91580.7835405064,234122.582271347,80441.5544480472,80738.3839696842,77293.3382560975,99098.9153451248,98598.9484399362,97574.8039396687,96409.2647013876,96057.7125570173,95278.1067972781,94188.3502501437,93415.764513209,92426.0013471125,74230.3566197246,135990.890484942,75285.7318326866,28147.0047291626,6596.41252701325,178733.731473879,185958.03793383,91473.7701366644,73957.7377879779,62547.6029255452,0,185754.450252022,52036.4142105316,117128.95464461,45808.0257151223,37641.5122444972,53820.8174638968,28818.1595253567,191816.793986006,191816.793986006,192158.12667126,192340.947173668,194396.256197007,189620.090224653,201153.477268718,27203.9101512897,22154.109135798,4127.4914173336,92391.6200129411,65351.335582289,65551.2735295288,76655.1272343715,61105.4285963134,54106.0387815489,53385.0250458708,115914.994026548,58612.7609510505,173226.649603161,191816.793986006,200187.924792512,216511.737521303,190074.493482523,233467.35143446
"du-Hamveer",54764.4601545911,48129.7968920782,42684.8835577372,37850.2720058281,27960.9893329686,22450.5859888499,9940.53737768579,7451.1663850378,7624.25557668457,17306.9463907667,22753.8876053651,45236.5097516986,49149.705879751,9613.95255315759,4637.58015196763,31001.9724543167,14626.5877242691,13278.2523909982,22953.8255526048,17206.9774171468,45053.7136567082,23940.2428378808,30519.2450310495,41940.09846569,70201.8977939773,70550.2993168716,70398.7339345766,87567.8023200732,88650.5388444023,88677.9001557687,89529.4192053276,90322.346230825,92935.4954035624,93283.896926456,93932.2785924633,112229.354260593,113477.696212826,69687.8908431798,94036.1413748295,112204.424790851,70747.1354574702,71478.3198374296,94587.6802812746,55419.6909914781,110446.664069,111260.602348075,113098.063977237,89802.0380370738,90302.0049422624,91077.741300674,91912.0696831472,92760.4381112293,92380.8058756409,92890.9434251102,92918.3047364773,93328.4489049088,112434.923485769,52587.5607186081,112290.378126279,157607.445522859,179158.037725009,22200.2231889911,29424.5296489424,94280.680115357,111962.317891947,123206.847326476,185754.450252022,0,138437.790736756,70364.3526004051,140608.846248516,148112.938007525,131933.632788125,156936.290726666,35283.2857011182,35283.2857011182,35624.6183863723,35807.4388887798,37862.7479121191,33086.5819397652,22450.5859888499,166867.141664164,168461.453297667,182388.337851059,95774.2063657164,169200.100978213,169282.903692165,112659.839717587,151743.654935509,131648.411470473,132545.128056083,70750.2860789471,127141.689300971,12527.8006488611,35283.2857011182,21485.0335126442,37808.8462414343,11371.602202655,54764.4601545912
"bpns-WK12",186150.691919194,179516.028656681,174071.11532234,169236.503770431,159347.221097571,153836.817753452,141326.769142288,138837.39814964,130813.535160072,121130.84434599,115683.903131391,93201.2809850575,89288.084857005,128823.838183599,136023.81191657,107894.310608399,146012.819488871,144664.4841556,115483.965184152,121230.81331961,93584.0150272876,155326.474602483,107977.113322351,97287.6395270114,68649.9065125382,68798.321273357,69446.7029393637,54347.7024026689,53430.5713062437,52657.9855693084,51309.6502360377,50102.7096407805,45502.2953331934,45153.8938102999,44505.5121442925,26788.0554738272,26036.5298053066,68749.8998935759,44401.6493619265,26233.3659459052,69595.1177001819,69526.3550318394,43850.1104554813,186805.922756081,28405.1402375165,28701.9697591534,25339.7267595188,51782.2558298592,51282.2889246706,50258.1444244031,49092.6051861221,48741.0530417517,47961.4472820126,46871.6907348783,46099.1049979436,45109.3418318471,26002.8672509866,88674.2309696762,26147.4126104771,25880.7084472612,47314.1654161228,131417.071958613,138641.378418564,44157.110621399,26475.4728448088,16886.9976893206,52036.4142105316,138437.790736756,0,69812.2951293432,6638.3618119165,15156.280982405,8703.4753682699,29660.6925160022,144500.13447074,144500.13447074,144841.467155994,145024.287658401,147079.596681741,142303.430709387,153836.817753452,33149.1056226733,34743.4172561759,48670.3018095683,42839.2872209714,31875.0949576908,32075.0329049305,25777.9510191694,16527.0831141665,13389.3548629288,14847.4637028336,68598.3345112816,15022.2235636277,125909.990087895,144500.13447074,152871.265277246,169195.078006036,142757.833967257,186150.691919194
"ws-FZ2",118077.253782843,111442.590520329,105997.677185988,101163.065634079,91273.7829612195,85763.3796171007,73253.3310059365,70763.9600132885,62740.0970237206,53057.4062096385,47610.4649950401,25127.8428487067,21214.6467206542,60750.4000472476,67950.3737802183,39820.8724720477,77939.3813525198,76591.0460192489,47410.5270478004,53157.3751832584,25510.5768909368,87253.0364661316,39903.6751859997,29214.2013906606,1806.63239988769,1248.2443225617,482.727423267141,18942.3067126605,20025.0432369896,20052.404548356,20903.923597915,21696.8506234123,24309.9997961498,24658.4013190434,25306.7829850508,43603.8586531798,44852.2006054134,2764.89637169248,25410.6457674168,43578.9291834381,382.78285706514,1289.6700869562,25962.184673862,118732.48461973,41821.1684615866,42635.1067406623,44472.5683698245,21176.5424296611,21676.5093348497,22452.2456932613,23286.5740757345,24134.9425038167,23755.3102682283,24265.4478176976,24292.8091290647,24702.9532974962,43809.4278783567,20600.7928333254,43664.8825188663,88981.9499154465,110532.542117596,63343.6338222616,70567.9402822129,25655.1845079444,43336.8222845346,54581.3517190633,117128.95464461,70364.3526004051,69812.2951293432,0,71983.3506411024,79487.4424001119,63308.1371807118,88310.7951192524,76426.6963343886,76426.6963343886,76768.0290196427,76950.8495220502,79006.1585453895,74229.9925730356,85763.3796171007,98241.6460567508,99835.9576902534,113762.842243646,27148.7107583036,100574.605370799,100657.408084751,44034.3441101739,83118.1593280959,63022.9158630597,63919.6324486694,1331.09585134938,58516.1936935579,57836.551951544,76426.6963343886,84797.827140895,101121.639869685,74684.3958309056,118077.253782842
"bpns-S4",188321.747430953,181687.08416844,176242.170834099,171407.55928219,161518.27660933,156007.873265211,143497.824654047,141008.453661399,132984.590671831,123301.899857749,117854.958643151,95372.3364968168,91459.1403687643,130994.893695358,138194.867428329,110065.366120158,148183.875000631,146835.53966736,117655.020695911,123401.868831369,95755.0705390469,157497.530114242,110148.16883411,99458.6950387707,70820.9620242975,70969.3767851163,71617.758451123,56518.7579144282,55601.626818003,54829.0410810677,53480.705747797,52273.7651525398,47673.3508449527,47324.9493220592,46676.5676560518,33016.4439692364,32264.9183007159,70920.9554053352,46821.1130155431,30391.6865925141,71766.1732119412,71697.4105435988,46021.1659672408,188976.97826784,34633.5287329257,34930.3582545626,31485.312540976,53953.3113416185,53453.3444364299,52429.1999361624,51263.6606978813,50912.108553511,50132.5027937719,49042.7462466376,48270.1605097029,47280.3973436064,28422.330904603,90845.2864814355,29477.706117565,19242.3466353447,40675.8036042065,133588.127470372,140812.433930324,46328.1661331583,28646.528356568,19058.0532010797,45808.0257151223,140608.846248516,6638.3618119165,71983.3506411024,0,8517.91917048846,9586.04331386355,23022.3307040857,146671.189982499,146671.189982499,147012.522667753,147195.34317016,149250.6521935,144474.486221146,156007.873265211,26920.717127264,28515.0287607667,42441.913314159,46583.5942978192,35033.6925605248,35233.6305077645,30847.1015192499,19685.6807170006,13100.5704756448,13621.5974492474,70769.3900230409,17193.2790753868,128081.045599654,146671.189982499,155042.320789005,171366.133517795,144928.889479016,188321.747430953
"bpns-A1BIS",195825.839189963,189191.17592745,183746.262593108,178911.651041199,169022.36836834,163511.965024221,151001.916413057,148512.545420409,140488.682430841,130805.991616758,125359.05040216,102876.428255826,98963.2321277737,138498.985454368,145698.959187338,117569.457879167,155687.96675964,154339.631426369,125159.11245492,130905.960590378,103259.162298056,165001.621873252,117652.260593119,106962.78679778,78325.0537833069,78473.4685441257,79121.8502101325,64022.8496734375,63105.7185770123,62333.132840077,60984.7975068063,59777.8569115491,55177.442603962,54829.0410810684,54180.6594150611,41182.9574398613,40431.4317713407,78425.0471643446,54987.6264861679,38558.200063139,79270.2649709507,79201.5023026083,53939.2712960097,196481.07002685,42800.0422035505,43096.8717251875,39651.8260116009,61457.4031006278,60957.4361954391,59933.2916951717,58767.7524568906,58416.2003125202,57636.5945527811,56546.8380056468,55774.2522687121,54784.4891026157,36588.8443752279,98349.3782404449,37644.2195881899,10724.4274648563,32157.8844337182,141092.219229382,148316.525689333,53832.2578921677,36316.2255434812,24906.0906810485,37641.5122444972,148112.938007525,15156.280982405,79487.4424001119,8517.91917048846,0,16179.3052194,14504.4115335972,154175.281741508,154175.281741508,154516.614426762,154699.43492917,156754.743952509,151978.577980155,163511.96502422,18754.203656639,20348.5152901416,34275.3998435341,54750.107768444,38911.9261189032,39111.864066143,39013.6149898748,25220.9448511326,16464.5265370521,16654.3426548469,78273.4817820501,20971.2487065539,135585.137358664,154175.281741508,162546.412548015,178870.225276805,152432.981238025,195825.839189962
"bpns-S7",179646.533970562,173011.870708049,167566.957373708,162732.345821799,152843.063148939,147332.659804821,134822.611193656,132333.240201008,124309.37721144,114626.686397358,109179.74518276,86697.123036426,82783.9269083735,122319.680234967,129519.653967938,101390.152659767,139508.66154024,138160.326206969,108979.80723552,114726.655370978,87079.8570786561,148822.316653852,101472.955373719,90783.4815783799,62145.7485639068,62294.1633247256,62942.5449907324,47843.5444540376,46926.4133576124,46153.827620677,44805.4922874063,43598.5516921492,38998.1373845621,38649.7358616685,38001.3541956612,25003.6522204615,24252.1265519409,62245.7419449446,38808.321266768,22378.8948437391,63090.9597515505,63022.1970832081,37759.9660766098,180301.764807449,26620.7369841507,26917.5665057877,23472.5207922011,45278.0978812278,44778.1309760392,43753.9864757718,42588.4472374907,42236.8950931203,41457.2893333812,40367.5327862469,39594.9470493122,38605.1838832158,20409.539155828,82170.0730210447,21464.91436879,25673.8127347346,47224.4049368836,124912.914009981,132137.220469933,37652.9526727678,20136.9203240813,9472.0098872162,53820.8174638968,131933.632788125,8703.4753682699,63308.1371807118,9586.04331386355,16179.3052194,0,25002.6579385409,137995.976522108,137995.976522108,138337.309207362,138520.12970977,140575.438733109,135799.272760755,147332.65980482,34933.5088760389,36527.8205095416,50454.7050629337,38570.8025490442,40578.5703259605,40778.5082732002,22834.3097704749,25230.5584824364,4685.87949465893,6143.9883345637,62094.1765626503,7607.23576152322,119405.832139263,137995.976522108,146367.107328614,162690.920057405,136253.676018625,179646.533970562
"bpns-O6",204649.191909103,198014.52864659,192569.615312249,187735.00376034,177845.72108748,172335.317743361,159825.269132197,157335.898139549,149312.035149981,139629.344335899,134182.4031213,111699.780974967,107786.584846914,147322.338173508,154522.311906479,126392.810598308,164511.31947878,163162.98414551,133982.465174061,139729.313309519,112082.515017197,173824.974592392,126475.61331226,115786.139516921,87148.4065024474,87296.8212632662,87945.202929273,72846.202392578,71929.0712961528,71156.4855592174,69808.1502259467,68601.2096306896,64000.7953231025,63652.3938002089,63004.0121342016,50006.3101590017,49254.7844904811,87248.3998834851,63810.9792053084,47381.5527822794,88093.6176900912,88024.8550217488,62762.6240151502,205304.42274599,51623.3949226909,51920.2244443279,48475.1787307413,70280.7558197682,69780.7889145796,68756.6444143121,67591.1051760311,67239.5530316607,66459.9472719216,65370.1907247873,64597.6049878526,63607.8418217561,45412.1970943683,107172.730959585,46467.5723073303,6016.97534600827,22221.7469983434,149915.571948522,157139.878408474,62655.6106113081,45139.5782626216,33729.4434001891,28818.1595253567,156936.290726666,29660.6925160022,88310.7951192524,23022.3307040857,14504.4115335972,25002.6579385409,0,162998.634460649,162998.634460649,163339.967145903,163522.787648311,165578.09667165,160801.930699296,172335.317743361,19867.1766117417,17072.9444057865,25452.0471243936,63573.4604875842,50599.3856737194,50799.3236209591,47836.9677090152,39725.3563847298,25287.8792561927,24566.8655205146,87096.8345011909,29794.6014256944,144408.490077805,162998.634460649,171369.765267155,187693.577995946,161256.333957166,204649.191909103
"M-4",82996.186883555,76361.523621042,70916.6102867008,66081.9987347916,56192.7160619321,50682.3127178135,38172.2641066495,35682.8931140015,27659.0301244336,23369.2901247502,28816.2313393486,51298.853485682,55212.0496137344,25669.3331479606,32869.3068809314,37064.3161883002,42858.3144532328,41509.9791199619,29016.1692865884,23269.3211511304,51116.0573906917,52171.9695668444,36581.588765033,48002.4421996734,76264.2415279608,76612.6430508551,76461.0776685601,93630.1460540567,94712.8825783858,94740.2438897522,95591.7629393111,96384.6899648085,98997.8391375459,99346.2406604395,99994.6223264468,118291.697994576,119540.03994681,75750.2345771632,100098.485108813,118266.768524834,76809.4791914537,77540.6635714132,100650.024015258,83651.4177204421,116509.007802983,117322.946082059,119160.407711221,95864.3817710573,96364.3486762459,97140.0850346575,97974.4134171307,98822.7818452128,98443.1496096245,98953.2871590937,98980.6484704608,99390.7926388923,118497.267219753,58649.9044525916,118352.721860263,163669.789256843,185220.381458993,13083.0625121271,5858.75605217606,100343.02384934,118024.661625931,129269.19106046,191816.793986006,35283.2857011182,144500.13447074,76426.6963343886,146671.189982499,154175.281741508,137995.976522108,162998.634460649,0,0,341.332685254092,524.153187661643,2579.4622110009,2196.70376135303,50682.3127178135,172929.485398148,174523.79703165,188450.681585043,101836.5500997,175262.444712196,175345.247426148,118722.18345157,157805.998669493,137710.755204456,138607.471790066,76812.6298129307,133204.033034955,22755.4850522572,0,49716.7602416077,66040.5729703978,39603.3289316186,82996.186883555
"M-4A",82996.186883555,76361.523621042,70916.6102867008,66081.9987347916,56192.7160619321,50682.3127178135,38172.2641066495,35682.8931140015,27659.0301244336,23369.2901247502,28816.2313393486,51298.853485682,55212.0496137344,25669.3331479606,32869.3068809314,37064.3161883002,42858.3144532328,41509.9791199619,29016.1692865884,23269.3211511304,51116.0573906917,52171.9695668444,36581.588765033,48002.4421996734,76264.2415279608,76612.6430508551,76461.0776685601,93630.1460540567,94712.8825783858,94740.2438897522,95591.7629393111,96384.6899648085,98997.8391375459,99346.2406604395,99994.6223264468,118291.697994576,119540.03994681,75750.2345771632,100098.485108813,118266.768524834,76809.4791914537,77540.6635714132,100650.024015258,83651.4177204421,116509.007802983,117322.946082059,119160.407711221,95864.3817710573,96364.3486762459,97140.0850346575,97974.4134171307,98822.7818452128,98443.1496096245,98953.2871590937,98980.6484704608,99390.7926388923,118497.267219753,58649.9044525916,118352.721860263,163669.789256843,185220.381458993,13083.0625121271,5858.75605217606,100343.02384934,118024.661625931,129269.19106046,191816.793986006,35283.2857011182,144500.13447074,76426.6963343886,146671.189982499,154175.281741508,137995.976522108,162998.634460649,0,0,341.332685254092,524.153187661643,2579.4622110009,2196.70376135303,50682.3127178135,172929.485398148,174523.79703165,188450.681585043,101836.5500997,175262.444712196,175345.247426148,118722.18345157,157805.998669493,137710.755204456,138607.471790066,76812.6298129307,133204.033034955,22755.4850522572,0,49716.7602416077,66040.5729703978,39603.3289316186,82996.186883555
"M-3",83337.5195688091,76702.856306296,71257.9429719549,66423.3314200457,56534.0487471862,51023.6454030676,38513.5967919036,36024.2257992556,28000.3628096877,23710.6228100043,29157.5640246027,51640.1861709361,55553.3822989885,26010.6658332147,33210.6395661855,37405.6488735542,43199.6471384869,41851.311805216,29357.5019718424,23610.6538363845,51457.3900759458,52513.3022520985,36922.9214502871,48343.7748849275,76605.5742132149,76953.9757361092,76802.4103538142,93971.4787393108,95054.2152636399,95081.5765750063,95933.0956245652,96726.0226500626,99339.1718228,99687.5733456936,100335.955011701,118633.03067983,119881.372632064,76091.5672624173,100439.817794067,118608.101210088,77150.8118767078,77881.9962566673,100991.356700512,83992.7504056962,116850.340488237,117664.278767313,119501.740396475,96205.7144563114,96705.6813615,97481.4177199116,98315.7461023848,99164.1145304669,98784.4822948785,99294.6198443478,99321.9811557148,99732.1253241464,118838.599905007,58991.2371378457,118694.054545517,164011.121942097,185561.714144247,13424.3951973812,6200.08873743015,100684.356534595,118365.994311185,129610.523745714,192158.12667126,35624.6183863723,144841.467155994,76768.0290196427,147012.522667753,154516.614426762,138337.309207362,163339.967145903,341.332685254092,341.332685254092,0,241.388119051433,2296.69714239069,2538.03644660712,51023.6454030675,173270.818083402,174865.129716904,188792.014270297,102177.882784954,175603.77739745,175686.580111402,119063.516136825,158147.331354747,138052.087889711,138948.80447532,77153.9624981848,133545.365720209,23096.8177375112,341.332685254092,50058.0929268618,66381.9056556519,39944.6616168727,83337.5195688091
"M-2",83520.3400712167,76885.6768087036,71440.7634743625,66606.1519224533,56716.8692495938,51206.4659054751,38696.4172943111,36207.0463016632,28183.1833120953,23893.4433124119,29340.3845270103,51823.0066733437,55736.2028013961,26193.4863356223,33393.460068593,37588.4693759618,43382.4676408944,42034.1323076236,29540.32247425,23793.474338792,51640.2105783533,52696.122754506,37105.7419526946,48526.5953873351,76788.3947156224,77136.7962385167,76985.2308562217,94154.2992417183,95237.0357660475,95264.3970774138,96115.9161269728,96908.8431524701,99521.9923252075,99870.3938481011,100518.775514108,118815.851182238,120064.193134472,76274.3877648249,100622.638296475,118790.921712496,77333.6323791154,78064.8167590748,101174.17720292,84175.5709081037,117033.160990645,117847.09926972,119684.560898883,96388.5349587189,96888.5018639075,97664.2382223191,98498.5666047923,99346.9350328745,98967.3027972861,99477.4403467553,99504.8016581224,99914.9458265539,119021.420407415,59174.0576402532,118876.875047924,164193.942444505,185744.534646654,13607.2156997887,6382.9092398377,100867.177037002,118548.814813592,129793.344248121,192340.947173668,35807.4388887798,145024.287658401,76950.8495220502,147195.34317016,154699.43492917,138520.12970977,163522.787648311,524.153187661643,524.153187661643,241.388119051433,0,2055.30902333926,2720.85694901467,51206.4659054751,173453.638585809,175047.950219312,188974.834772704,102360.703287362,175786.597899858,175869.40061381,119246.336639232,158330.151857155,138234.908392118,139131.624977728,77336.7830005923,133728.186222616,23279.6382399188,524.153187661643,50240.9134292694,66564.7261580594,40127.4821192803,83520.3400712167
